"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Get user me","LMS service","Tue Aug 19 19:15:59 UTC 2025","passed","Tue Aug 19 19:15:59 UTC 2025","Get entity","Users","",""
"","24","Create exercise","LMS service","Tue Aug 19 19:15:52 UTC 2025","passed","Tue Aug 19 19:15:52 UTC 2025","Create entity","Exercises","",""
"","24","Update exercise","LMS service","Tue Aug 19 19:15:53 UTC 2025","passed","Tue Aug 19 19:15:53 UTC 2025","Update entity","Exercises","",""
"","563","Create user","LMS service","Tue Aug 19 19:15:58 UTC 2025","passed","Tue Aug 19 19:15:59 UTC 2025","Create entity","Users","",""
"","15","Get file","LMS service","Tue Aug 19 19:15:56 UTC 2025","passed","Tue Aug 19 19:15:56 UTC 2025","Get entity","Files","",""
"","263","Create file","LMS service","Tue Aug 19 19:15:55 UTC 2025","passed","Tue Aug 19 19:15:55 UTC 2025","Create entity","Files","",""
"","261","Create file with empty directory","LMS service","Tue Aug 19 19:15:57 UTC 2025","passed","Tue Aug 19 19:15:57 UTC 2025","Validate entity","Files","",""
"","28","Get courses","LMS service","Tue Aug 19 19:15:51 UTC 2025","passed","Tue Aug 19 19:15:51 UTC 2025","Get entities","Courses","",""
"","18","Delete exercise","LMS service","Tue Aug 19 19:15:54 UTC 2025","passed","Tue Aug 19 19:15:54 UTC 2025","Delete entity","Exercises","",""
"","38","Delete file","LMS service","Tue Aug 19 19:15:57 UTC 2025","passed","Tue Aug 19 19:15:57 UTC 2025","Delete entity","Files","",""
"","291","Create user","LMS service","Tue Aug 19 19:15:58 UTC 2025","passed","Tue Aug 19 19:15:58 UTC 2025","Create entity","Users","",""
"","266","Get file with incorrect file id","LMS service","Tue Aug 19 19:15:58 UTC 2025","passed","Tue Aug 19 19:15:58 UTC 2025","Validate entity","Files","",""
"","531","Create user","LMS service","Tue Aug 19 19:15:57 UTC 2025","passed","Tue Aug 19 19:15:58 UTC 2025","Create entity","Users","",""
"","306","Update course","LMS service","Tue Aug 19 19:15:50 UTC 2025","passed","Tue Aug 19 19:15:50 UTC 2025","Update entity","Courses","",""
"","266","Create file with empty filename","LMS service","Tue Aug 19 19:15:56 UTC 2025","passed","Tue Aug 19 19:15:56 UTC 2025","Validate entity","Files","",""
"","292","Get exercises","LMS service","Tue Aug 19 19:15:54 UTC 2025","passed","Tue Aug 19 19:15:54 UTC 2025","Get entities","Exercises","",""
"","553","Login with correct email and password","LMS service","Tue Aug 19 19:15:49 UTC 2025","passed","Tue Aug 19 19:15:50 UTC 2025","Login","Authentication","",""
"","31","Create course","LMS service","Tue Aug 19 19:15:51 UTC 2025","passed","Tue Aug 19 19:15:51 UTC 2025","Create entity","Courses","",""
"","28","Get exercise","LMS service","Tue Aug 19 19:15:53 UTC 2025","passed","Tue Aug 19 19:15:53 UTC 2025","Get entity","Exercises","",""
